name,lat,lon
de Gaspé / de Liège,45.54248521237199,-73.63634169101715
Leman / St-Hubert,45.5476904779454,-73.63069295883179
Métro Jarry (Lajeunesse / Jarry),45.54355974189168,-73.62777203321457
du Rosaire / St-Hubert,45.544788287191764,-73.62160965800285
Boyer / Everett,45.54314947747405,-73.61606528624179
Parc Villeray (Jarry / Christophe-Colomb),45.548513207676116,-73.62365484237671
Harvard / de Monkland,45.474565185029945,-73.62403571605682
de Normanville / Everett,45.545432605263116,-73.61438512802124
Regina / de Verdun,45.46734390596128,-73.57078850269318
Papineau / Jean-Talon,45.54776185680092,-73.60690712928772
Métro Mont-Royal (Place Gérald-Godin),45.52434980398798,-73.58144380187696
de Chambly / Sherbrooke,45.54895086493196,-73.55526924133301
Métro St-Michel (10e avenue / Shaughnessy),45.55849019501049,-73.59935268759727
de Ryde / Charlevoix,45.4757434,-73.5646007
de Laprairie / Centre,45.48059248038378,-73.56577813625336
Tupper / du Fort,45.49143153590894,-73.58038872498582
Lajeunesse / de Liège,45.54566376066234,-73.63510044919167
de Gaspé / Villeray,45.53888723230076,-73.62390697002411
Marcil / Sherbrooke,45.471743,-73.613924
Ontario / Sicard,45.55626186680846,-73.53744059801102
de Monkland / Girouard,45.47704497124396,-73.62142682119156
1ere avenue / St-Zotique,45.55187986673951,-73.59359055775712
Place de la Paix (St-Laurent),45.50928960913111,-73.56241598725319
Beaubien / 8e avenue,45.55331997202561,-73.58763143420218
15e avenue / Dandurand,45.554786595434784,-73.57425928115845
1ère avenue / Rosemont,45.54779995287998,-73.58486741781235
de la Côte-St-Antoine / Royal,45.468926984877434,-73.6198702454567
de Chambly / Rachel,45.54991069359101,-73.55826258659361
Wilderton  / Van Horne,45.51014162409143,-73.6247518658638
Dandurand / D'Iberville,45.5443716426341,-73.5809513926506
9e avenue / Masson,45.54964350222997,-73.5736209154129
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826
d'Orléans / Masson,45.557192,-73.569847
5e avenue / Masson,45.54753589193075,-73.57536166906357
Parc du Pélican (1ère avenue / Masson),45.54518840394769,-73.57644259929657
7e avenue / St-Joseph,45.54710817336986,-73.56936693191528
Parc André-Lavallée (Laurier),45.55331992800521,-73.56932803988457
St-Rémi / Ste-Émilie,45.46976497412213,-73.58923405408859
16e avenue / St-Joseph,45.55293611277267,-73.56577143073082
Ottawa / du Séminaire,45.4912954250061,-73.56159925460815
Lanouette / de l'Église,45.46337393327436,-73.57683420181274
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185
Darling / Sherbrooke,45.54545514686953,-73.55673909187317
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337
Elmwood / McDougall,45.51778642010814,-73.60364019870758
Parc Hilda-Ramacière (de Bullion / Prince-Arthur),45.51562131982338,-73.57212960720062
